id,Title,Authors Names,Source Type,Work Type,Publication Date,Affiliation,Quartile
85016422674,3D modelling and simulation of a crawler robot in ROS/Gazebo,"Michael White,
Michael Johns,
Robbin Castle,
Stephen Jordan,
Jack Black",Conference Proceeding,Conference Paper,2016-12-07,"Kazan Federal University, Innopolis University",4
84978745428,3D modelling of biped robot locomotion with walking primitives approach in simulink environment,"Jack Castle,
Michael Lee,
Stephen Lee,
Daniel Castle",Book Series,Conference Paper,2016-01-01,Innopolis University,4
85119878389,A Browser Extension to Facilitate Language Acquisition,"Michael Castle,
Robbin Lee,
Michael Oscar",Conference Proceeding,Conference Paper,2021-04-14,Innopolis University,4
85127900674,"A Case Study on Handwritten Indic Script Classification: Benchmarking of the Results at Page, Block, Text-line, and Word Levels","Stephen Johns,
Stephen Lee,
Jack Castle,
Laura Oscar",Journal,Article,2022-03-01,"Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence, Innopolis University, Jadavpur University",2
85123294627,A Case Study on Combining Agile and User-Centered Design,"Laura Lee,
Bruce Black,
Jack Castle",Book Series,Conference Paper,2021-01-01,Innopolis University,4
85124685882,A Classification of Software Defect Prediction Models,"Robbin Black,
Daniel Oscar",Conference Proceeding,Conference Paper,2021-01-01,Innopolis University,1
85089700418,A Collaborative Multi-Metric Interface Ranking Scheme for Named Data Networks,"Jack Castle,
Michael Johns,
Daniel Lee,
Daniel Castle,
Jack Johns",Conference Proceeding,Conference Paper,2020-06-01,"CEA Saclay, Daegu Gyeongbuk Institute of Science and Technology, Beijing Institute of Technology, Innopolis University",1
85097907439,A Comparative Analysis of Cryptographic Algorithms in the Internet of Things,"Bruce Lee,
Michael Johns,
Michael Lee,
Stephen White,
Stephen Castle,
Jack Johns",Conference Proceeding,Conference Paper,2020-10-27,"Kyung Hee University, Innopolis University",1
85075883851,A Comparative Analysis of Distributed Ledger Technologies for Smart Contract Development,"Robbin Lee,
Laura Lee,
Bruce Jordan,
Robbin Black,
Bruce Black,
Daniel Black,
Michael Oscar",Conference Proceeding,Conference Paper,2019-09-01,"Royal Bank of Canada, Innopolis University",1
85089077687,A Comparative Analysis of Task Scheduling Approaches in Cloud Computing,"Michael Black,
Daniel Jordan,
Michael Jordan,
Robbin Johns,
Laura Jordan,
Stephen Castle,
Bruce White,
Laura Castle",Conference Proceeding,Conference Paper,2020-05-01,"Virtual University of Pakistan, Royal Bank of Canada, Innopolis University",1
85068585993,A Comparative Analysis of Trust Models for Safety Applications in IoT-enabled Vehicular Networks,"Bruce White,
Michael Oscar,
Michael Oscar,
Stephen Lee",Conference Proceeding,Conference Paper,2019-04-01,"Loughborough University, University of Derby, Innopolis University",1
85101825179,A Comprehensive Survey on Moving Networks,"Stephen Johns,
Jack Jordan,
Bruce Johns,
Robbin Castle",Journal,Article,2021-01-01,"Xi'an Jiaotong-Liverpool University, Massey University, Innopolis University",1
85064152708,A Conjoint Application of Data Mining Techniques for Analysis of Global Terrorist Attacks: Prevention and Prediction for Combating Terrorism,"Stephen Black,
Michael Castle,
Michael Black,
Bruce Johns",Book Series,Conference Paper,2020-01-01,"National University of Science &amp; Technology (MISIS), Innopolis University",1
85088807165,A Distributed Cache Placement Scheme for Large-Scale Information-Centric Networking,"Stephen Castle,
Robbin Castle,
Jack White,
Jack Castle,
Jack Oscar",Journal,Article,2020-11-01,"Université Paris Cité, Washington State University Pullman, Institut Polytechnique de Paris, Innopolis University",1
84988849759,A Dynamic Editor of Typed Data Transformations,"Jack Oscar,
Robbin Johns,
Daniel Castle",Conference Proceeding,Conference Paper,2016-01-01,"National Research Nuclear University MEPhI, Innopolis University",2
85125792424,A Family of Turn Based Strategy Games with Moose,"Michael Johns,
Michael Black,
Bruce Oscar,
Robbin Johns",Conference Proceeding,Conference Paper,2021-01-01,"University of Guelph, Innopolis University",1
85098777090,A Fast and Compact 3-D CNN for Hyperspectral Image Classification,"Michael White,
Daniel Oscar,
Stephen Black,
Jack Johns,
Michael Oscar,
Jack Castle",Journal,Article,2022-01-01,"Università degli Studi di Messina, Khwaja Fareed University of Engineering &amp; Information Technology, National University of Computer and Emerging Sciences Islamabad, Innopolis University",1
85098233791,A Hybrid Unsupervised Approach for Retinal Vessel Segmentation,"Jack Black,
Laura Johns,
Michael Johns,
Bruce Castle",Journal,Article,2020-01-01,"The Islamia University of Bahawalpur, National University of Computer and Emerging Sciences Islamabad, Innopolis University",2
