id,title,publisher,publication_date,doi,source_type,work_type,source_quartile,authors_affils,citations
85128902726,Controlling synchronization of gamma oscillations by astrocytic modulation in a model hippocampal neural network,Scientific Reports,2022-12-01,10.1038/s41598-022-10649-3,Journal,Article,1,"{'57189508849': ['Lobachevsky State University of Nizhni Novgorod'], '50061518600': ['Lobachevsky State University of Nizhni Novgorod'], '6603861723': ['Lobachevsky State University of Nizhni Novgorod'], '55328272900': ['Lobachevsky State University of Nizhni Novgorod', 'Innopolis University', 'Immanuel Kant Baltic Federal University']}",{}
85126143343,AI for next generation computing: Emerging trends and future directions,Internet of Things (Netherlands),2022-08-01,10.1016/j.iot.2022.100514,Journal,Review,-1,"{'57216940144': ['Queen Mary University of London'], '54394627800': ['Shenzhen Institute of Advanced Technology'], '7003921978': ['University of York'], '56872834000': ['The University of Waikato'], '6508251119': ['University of Birmingham'], '56469553900': ['RMIT University'], '57219976731': ['Queen Mary University of London'], '6603094693': ['Univerza v Ljubljani'], '57200185805': ['Tianjin University'], '57218390610': ['Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence', 'Innopolis University'], '57219663862': ['Jackson School of Geosciences', 'Indian Institute of Tropical Meteorology'], '36976054900': ['The University of Texas at Austin', 'Dell Technologies'], '24080140200': ['Indian Institute of Technology Kharagpur'], '34267505000': ['University of Sharjah'], '9736080300': ['Department of Engineering'], '6701784634': ['Western University'], '8843325700': ['UNSW Sydney'], '6701361478': ['The University of Manchester'], '6701473617': ['Vienna University of Technology, Distributed Systems Group'], '7003659610': ['Cardiff University'], '8927203000': ['Technische Universität Wien'], '55148419500': ['Queen Mary University of London']}",{'2022': '1'}
85129920558,Strengthening preparedness against global health threats: A paradigm shift based on One Health approaches,One Health,2022-06-01,10.1016/j.onehlt.2022.100396,Journal,Article,1,"{'7004036512': ['Istituto Superiore Di Sanita'], '22956431200': ['Istituto Superiore Di Sanita'], '6701758447': ['Istituto Superiore Di Sanita'], '57682183600': ['Istituto Superiore Di Sanita'], '57210021231': ['Istituto Superiore Di Sanita'], '6701397435': ['Istituto Superiore Di Sanita'], '55838510693': ['Istituto Superiore Di Sanita'], '7003323884': ['Istituto Superiore Di Sanita'], '24768323900': ['Istituto Superiore Di Sanita'], '6603050234': ['Istituto Superiore Di Sanita'], '57192670033': ['Istituto Superiore Di Sanita'], '57680787100': ['Istituto Superiore Di Sanita'], '7103376879': ['Istituto Superiore Di Sanita'], '25649194900': ['Istituto Superiore Di Sanita'], '25522287900': ['Istituto Superiore Di Sanita'], '24171318600': ['Centro Universitario Internazionale'], '40661326300': ['Innopolis University'], '32867537600': ['UK Health Security Agency'], '57681903200': ['Institute for International Studies (ISPI)'], '6504083813': [""Alisei: Italy's Life Science Cluster""], '6701512954': ['Istituto Superiore Di Sanita']}",{}
85126040713,Non-linear stiffness behavior of planar serial robotic manipulators,Mechanism and Machine Theory,2022-06-01,10.1016/j.mechmachtheory.2022.104783,Journal,Article,2,"{'57191922086': ['Laboratoire des Sciences du Numérique de Nantes'], '37016245900': ['Innopolis University'], '6701582655': ['Laboratoire des Sciences du Numérique de Nantes', 'IMT Atlantique'], '6602989627': ['Laboratoire des Sciences du Numérique de Nantes', 'CNRS Centre National de la Recherche Scientifique']}",{}
85124165352,Astrocytes mediate analogous memory in a multi-layer neuron–astrocyte network,Neural Computing and Applications,2022-06-01,10.1007/s00521-022-06936-9,Journal,Article,1,"{'57219974710': ['Lobachevsky State University of Nizhni Novgorod', 'Sechenov First Moscow State Medical University'], '55314345300': ['Lobachevsky State University of Nizhni Novgorod', 'Institute of Applied Physics of the Russian Academy of Sciences', 'Samara State Medical University'], '57200324455': ['Lobachevsky State University of Nizhni Novgorod'], '7103103296': ['Lobachevsky State University of Nizhni Novgorod', 'Sechenov First Moscow State Medical University', 'University College London'], '7005605401': ['Lobachevsky State University of Nizhni Novgorod', 'Samara State Medical University', 'Innopolis University'], '7005285942': ['Lobachevsky State University of Nizhni Novgorod', 'University of Leicester'], '55328272900': ['Lobachevsky State University of Nizhni Novgorod', 'Innopolis University']}",{'2022': '1'}
85130266925,Extrapolation of Human Estimates of the Concreteness/ Abstractness of Words by Neural Networks of Various Architectures,Applied Sciences (Switzerland),2022-05-01,10.3390/app12094750,Journal,Article,2,"{'26665013000': ['Kazan Federal University'], '57195101229': ['Innopolis University']}",{}
85128557670,Stabilization of an unstable equilibrium of a balance platform due to short-term training,"Chaos, Solitons and Fractals",2022-05-01,10.1016/j.chaos.2022.112099,Journal,Article,1,"{'57518300600': ['Immanuel Kant Baltic Federal University', 'Innopolis University'], '55241932000': ['Innopolis University'], '54787609400': ['Immanuel Kant Baltic Federal University', 'Innopolis University'], '56359138000': ['Immanuel Kant Baltic Federal University', 'Innopolis University'], '35334432000': ['Immanuel Kant Baltic Federal University', 'Innopolis University'], '56572360300': ['Immanuel Kant Baltic Federal University', 'Innopolis University'], '6603156741': ['Immanuel Kant Baltic Federal University', 'Innopolis University'], '7005864666': ['Innopolis University', 'Universidad Politécnica de Madrid']}",{}
85128240009,Cumulant analysis in wavelet space for studying effects of aging on electrical activity of the brain,"Chaos, Solitons and Fractals",2022-05-01,10.1016/j.chaos.2022.112038,Journal,Article,1,"{'57223027715': ['Saratov State University', 'Regional Scientific and Educational Mathematical Center “Mathematics of Future Technologies”'], '7202328274': ['Saratov State University', 'Regional Scientific and Educational Mathematical Center “Mathematics of Future Technologies”'], '57192586726': ['Innopolis University', 'Immanuel Kant Baltic Federal University'], '16498801300': ['Innopolis University', 'Immanuel Kant Baltic Federal University'], '56359138000': ['Innopolis University', 'Immanuel Kant Baltic Federal University'], '54787609400': ['Innopolis University', 'Immanuel Kant Baltic Federal University'], '13105436400': ['Saratov State University'], '6603156741': ['Innopolis University', 'Immanuel Kant Baltic Federal University']}",{}
85126675060,Multi-landmark environment analysis with reinforcement learning for pelvic abnormality detection and quantification,Medical Image Analysis,2022-05-01,10.1016/j.media.2022.102417,Journal,Article,1,"{'57209140202': ['Sorbonne Universite', 'Innopolis University'], '57219621465': ['Innopolis University', 'University College Dublin'], '57220034167': ['Innopolis University'], '57210314945': ['Innopolis University', 'Public Hospital #2'], '6507696809': ['Univerza v Ljubljani'], '40761505000': ['Univerza v Ljubljani', 'Københavns Universitet']}",{}
85125102064,A new modified social engineering optimizer algorithm for engineering applications,Soft Computing,2022-05-01,10.1007/s00500-022-06837-y,Journal,Article,2,"{'57208797688': ['Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence'], '57190337049': ['German University of Technology in Oman'], '36835614000': ['Bristol Business School'], '57218390610': ['Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence', 'Innopolis University']}",{}
